,0,1,2,3,4
0,627,1001.0,"""remains committed to facilitating humanitarian trade and assistance in support of the Iranian people.""",['Steven Mnuchin'],Department of the Treasury
0,628,1001.0,"""probably makes them, in terms of decision-making, more dangerous rather than less dangerous.""",['Kenneth McKenzie'],Congress—U.S. House of Representatives
0,634,1008.0,"""The key here is for the Fed to avoid the backlash like last time,""",['Dennis Kelleher'],Court of Federal Claims
0,638,1016.0,"""will need much more over the coming months, but the crucial thing the bill appears to do is begin providing relief to families and communities through channels that can get it out quickly, like expanded unemployment insurance, direct payments and state aid.""",['Jacob Leibenluft'],Congress—U.S. House of Representatives
0,639,1016.0,"""Nothing is perfect around here,""",['Rob Portman'],Senate
0,657,1057.0,"""That would be a great thing to do, since signing up has become more complex for people,""",['Tricia Neuman'],Centers for Medicare and Medicaid Services (CMS)
0,691,1104.0,"""was to restore the blue and yellow color scheme that the fans love.""",['Kevin Demoff' 'Demoff'],"Justice Programs, Office of"
0,692,1104.0,"""Did they use Donald Trump’s hair as inspiration for the new Rams logo?""",['Donald Trump'],"Justice Programs, Office of"
0,704,1123.0,"Pleading with the White House, officials at the F.D.A. were able to hold it off,",['Trump'],White House
0,713,1136.0,"""That would be a great thing to do, since signing up has become more complex for people,""",['Tricia Neuman'],Centers for Medicare and Medicaid Services (CMS)
0,738,1188.0,"want to find ways to provide more direct aid to working-class residents.
 ",['Melissa Hortman'],Congress—U.S. House of Representatives
0,759,1210.0,"""It’s a campaign year,""",['Scott Bedke'],Congress—U.S. House of Representatives
0,782,1237.0,"""provide Americans overseas the support that they need""",['Robert Menendez'],Senate
0,786,1239.0,"""I’ve never heard anyone suggest doing a virtual briefing,""",['Judd Deere'],White House
0,793,1252.0,"""I’d like to suggest to my friends on both sides of the aisle that we first assume the appropriate distance,""",['Emily Cochrane' 'Durbin' 'Nicholas Fandos'],Senate
0,794,1252.0,"""and then secondly, take a deep breath.""",['Emily Cochrane' 'Durbin' 'Nicholas Fandos'],Senate
0,800,1261.0,"""In these extraordinary times, the Government must now set out further compliance measures, such as those introduced in other countries,""",['Starmer'],Government Accountability Office (GAO)
0,816,1295.0,"""The speed of the response has been unprecedentedly fast,""",['Roberto Perli'],Court of Federal Claims
0,820,1298.0,"""We need this to pass today,""",['Chuck Schumer' 'Schumer' 'Steven Mnuchin'],Department of the Treasury
